السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الرياض,وادي الدواسر,أم سمرة,شقة,سكني,2,10800,80
2026,1,الرياض,الرياض,عليشة,دور,سكني,23,36729.16,174.44
2026,1,الرياض,وادي الدواسر,الزويراء,شقة,سكني,12,16666.66,110.5
2026,1,الرياض,الرياض,البيان,معرض تجاري,تجاري,11,0,0
2026,1,الرياض,الدوادمي,السلام,شقة,سكني,75,8837.24,71.06
2026,1,الرياض,الرياض,النرجس,محل,تجاري,284,0,0
2026,1,الرياض,الرياض,مطار الملك خالد الدولي,شقة,سكني,54,33269.04,278.1
2026,1,الرياض,مزارع اسفل القويعيه,أمجاد (مزارع امجاد),شقة,سكني,1,18000,140.4
2026,1,الرياض,الرياض,الحائر,شقة,سكني,120,16457.98,117.92
2026,1,الرياض,عفيف,الضباب,محل,تجاري,12,0,0
2026,1,الرياض,القويعية,الزهور,استديو,سكني,2,8500,70.83
2026,1,الرياض,الخرج,الخالدية,دور,سكني,79,23410.6,83.36
2026,1,الرياض,الجلة,مخطط رقم 0941,محل,تجاري,2,0,0
